tbl,id,country,state_province,county,latitude,longitude
vfoi,61716632,Brazil,Mato Grosso,NA,9999,9999
vfoi,61717197,Brazil,Rio de Janeiro,Teresopolis,999.9,999.9
vfoi,61728033,Brazil,Sao Paulo,Pedregulho,9999,9999
vfoi,61743485,Brazil,Mato Grosso,NA,9999,9999
vfoi,61753243,Brazil,Mato Grosso,NA,9999,9999
vfoi,61754680,Brazil,Mato Grosso,NA,9999,9999
vfoi,61754855,Brazil,Mato Grosso,NA,9999,9999
vfoi,61757814,Brazil,Mato Grosso,NA,9999,9999
vfoi,61758542,Brazil,Mato Grosso,NA,9999,9999
vfoi,61759483,Brazil,Mato Grosso,NA,9999,9999
vfoi,61768788,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,61771168,Brazil,Mato Grosso,NA,9999,9999
vfoi,61775568,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,61776892,Brazil,Mato Grosso,NA,9999,9999
vfoi,61780348,Brazil,Espirito Santo,Castelo,9999,9999
vfoi,61785418,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,61790163,Brazil,Mato Grosso,NA,9999,9999
vfoi,61790935,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,61800441,Brazil,Mato Grosso,NA,9999,9999
vfoi,61800682,Brazil,Mato Grosso,NA,9999,9999
vfoi,61803856,Brazil,Mato Grosso,NA,9999,9999
vfoi,61804473,Brazil,Espirito Santo,Nova Venecia,9999,9999
vfoi,61806116,Brazil,Mato Grosso,NA,9999,9999
vfoi,61806243,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,61814026,Brazil,Espirito Santo,Sao Roque Do Canaa,9999,9999
vfoi,61815095,Brazil,Mato Grosso,NA,9999,9999
vfoi,61815511,Brazil,Mato Grosso,NA,9999,9999
vfoi,61818462,Brazil,Mato Grosso,NA,9999,9999
vfoi,61821141,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,61821789,Brazil,Mato Grosso,NA,9999,9999
vfoi,61821980,Brazil,Mato Grosso,NA,9999,9999
